어휘,품사,뜻풀이
부당전제의오류,품사 없음,아무런 증명 없이 잘못된 전제를 참이라고 인정하고l 그 전제에서 결론을 도출하여 발생한 논리적인 오류.
부당전칭의허위,품사 없음,정언적 삼단 논법에 관한 형식적 허위의 하나. 전제한 두 개가 특칭 판단인데도 불구하고l 전칭 판단을 결론으로 하는 허위이다.
부당조작,품사 없음,컴퓨터에 기억된 제약 조건으로 인하여 컴퓨터가 명령을 수행할 수 없거나 타당하지 않은 결과가 발생하여 실행이 불가능하게 되는 일.
부당주연의허위,품사 없음,정언적 삼단 논법에 관한 형식적 허위의 하나. 전제에서 부주연(不周延)인 개념은 결론에서 주연이어서는 안 된다고 하는 삼단 논법의 규칙을 어겨서 생기는 허위이다. 예를 들면 ‘모든 새는 날개가 있다. 어떤 동물은 새이다. 그러므로 모든 동물은 날개가 있다.’ 하는 따위이다.
부당지사,명사,이치에 맞지 아니한 일.
부당지설,명사,이치에 맞지 아니하는 말.
부당집행,품사 없음,법률을 위반하는 부당한 방법으로 공적인 업무를 실행하는 일.
부당천만하다,형용사,부당하기 짝이 없거나 이를 데 없다.
부당초등학교,품사 없음,전라북도 무주군 부남면에 있는 공립 초등학교. 1944년에 개교하였다.
부당커맨드,품사 없음,정의된 명령어들이 아닌 금지된 명령어들이 나타날 경우l 불량의 결과로 판정된 것.
부당커맨드체크,품사 없음,컴퓨터에서 현재 사용되는 명령어가 미리 정의된 규약에 속하는지l 또는 금지된 명령어는 아닌지 검사하는 작업.
부당코드,품사 없음,컴퓨터 시스템에서 정의된 영문자 체계나 특정한 언어의 규약에 속하지 않은 문자 또는 기호. 이러한 부호가 나타날 경우l 시스템에서는 이를 오류 또는 기능 불량으로 판정한다.
부당특약,품사 없음,기업과 기업 사이에서 부당한 목적으로 이루어지는 특약. 우월적 지위를 이용하여 상대방에게 불이익을 강요하는 것이 대표적이다.
부당판결,품사 없음,내용이 부당한 판결. 주로 민사 소송법에서 문제가 되며 상소에 의하여 취소되지 않는 한 무효는 아니다.
부당페이지분리,품사 없음,워드 프로세서로 문서를 작업할 때l 그림이나 도표 따위의 정보가 중간에 잘려서 두 개의 페이지로 나누어지는 현상.
부당표시,품사 없음,상품이나 서비스의 품질l 효능l 가격l 분량 따위에서 소비자가 오인할 수 있는 잘못된 표시.
부당표시광고,품사 없음,사업자와 상품 또는 거래 조건에 관한 허위 사실이나l 소비자를 기만하거나 오인 소지가 있는 내용을 포함한 표시나 광고.
부당하다,형용사,이치에 맞지 아니하다.
부당한처분,품사 없음,공익이나 행정 목적에 반대되거나l 잘못된 자유재량에 의한 행정 처분.
부당행위계산부인,품사 없음,법인이나 개인 사업자 등의 행위나 회계 처리가 법률상으로나 기업 회계 기준상으로 보편타당해도 세무 계산상으로 볼 때 조세를 부당하게 줄일 목적으로 행하였다고 인정되면 그 행위나 계산에 관계없이 이를 부인하는 일.
부당확충의허위,품사 없음,정언적 삼단 논법에 관한 형식적 허위의 하나. 전제에서 부주연(不周延)인 개념은 결론에서 주연이어서는 안 된다고 하는 삼단 논법의 규칙을 어겨서 생기는 허위이다. 예를 들면 ‘모든 새는 날개가 있다. 어떤 동물은 새이다. 그러므로 모든 동물은 날개가 있다.’ 하는 따위이다.
부당환급,품사 없음,허위 서류를 꾸미는 따위의 부당한 방법으로 신고하여 관세 등을 부당하게 환급받는 일.
부당히,부사,이치에 맞지 아니하게.
부닺히다,동사,‘부딪히다’의 방언
부대,명사,주로 산간 지대에서 풀과 나무를 불살라 버리고 그 자리를 파 일구어 농사를 짓는 밭. ⇒규범 표기는 ‘화전’이다.
부대가중치,품사 없음,여러 가지 무기들을 복합적으로 보유하고 서로 대치하고 있는 피아 부대 간의 상대적 전투력을 하나의 수치로 표시한 지수.
부대결의,품사 없음,의원이 표결에 조건을 붙여서 찬성이나 반대를 표시하는 일. 표결의 기본 원칙은 이를 금지하고 있다. 그럼에도 이 같은 결의를 하는 경우에는 법률적 효과는 없고 정치적 의미만 있다.
부대계획,품사 없음,군 통제 계획의 하나로l 현역 군 병력 및 부대 구조에 대한 목표와 지침을 제공하고 군 전략 목표 기획 및 제한된 전투를 위하여 제 소요를 충족하기 위한 창설l 해체l 개편l 군인 및 군무원에 대한 부대 기준 전개 및 준비 태세 목표를 설정하는 계획.
부대공,명사,중앙 분리대나 가드레일 설치 따위와 같이 주된 공사에 곁들여 하는 공사.
부대공사,품사 없음,전기l 수도 따위와 같이 건물에 곁들여 설비하는 공사를 통틀어 이르는 말.
부대공소,품사 없음,피공소인이 제일심 판결 가운데서 자기에게 이롭지 못한 부분의 변경을 신청하는 공소.
부대구조,품사 없음,국방부로부터 승인된 정원을 기초로 지휘 부대l 전투 부대l 전투 지원 부대l 군수 지원 부대l 행정 지원 부대로 구분하여 전투력 발휘가 용이하도록 지휘 제대별로 형성된 체계.
부대긁이,명사,화전(火田)을 일구어 짓는 농사.
부대기,명사,‘부대밭’의 북한어.
부대기농사,명사,화전(火田)을 일구어 짓는 농사.
부대기밭,명사,‘화전’의 북한어.
부대기백성,명사,화전 농사를 짓는 백성.
부대기준표,품사 없음,특수 임무의 수행에 필요한 군의 부대와 군무원을 포함한 인원의 수l 편성 및 장비별로 나타낸 인가표.
부대끼다,동사,사람이나 일에 시달려 크게 괴로움을 겪다.
부대농사,명사,화전(火田)을 일구어 짓는 농사.
부대단위,품사 없음,부대를 편성하는 단위. 분대l 반l 소대l 중대l 대대l 연대l 여단l 사단l 군단l 군사령부 및 비표준화 부대로 구분한다. 다만l 부대의 특수성을 감안하여 중대와 대대l 대대와 연대의 중간 규모 부대를 두며 임무와 성격에 따라 부대 명칭을 부여한다.
부대도,명사,군과 계약한 업자가 제공해야 할 물품 및 용역의 인도 장소를 실제 사용 부대로 정하여 납품하는 것.
부대라멘,품사 없음,내진 벽에 연결된 기둥과 보.
부대령,명사,국방부 직할 부대 및 각 군 예하 사단급 이상 부대의 설치 근거가 되는 대통령령. 부대의 설치 목적 및 임무l 지휘관과 그 보좌 기구 및 참모 부서의 설치 근거와 정원 책정에 관한 사항 따위를 포함한다.
부대로력,명사,협동농장원l 노동자l 사무원의 부양가족이 임시적으로 협동농장에 나가 일하는 노동력. ⇒규범 표기는 ‘부대 노력’이다.
부대리비,명사,‘부삽’의 방언
